;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79
MIR429;6,85506592500356;6,92797387644486;7,03752333540162;6,95241537817498;7,02771166572724;6,9132853691138;6,77170883379716;6,86820795628265;6,81438217477515;6,57193844241616;6,49048715172095;6,7891336911078;6,71716470042201;6,65165993965826;6,7756164851856;6,65023879069559;6,69204368042888;6,66955577187323;6,85498266990241;6,82550954189512;6,67409469126856;6,99654182443119;6,90962574744208;6,7989503106336;6,85969676592622;6,97190456884204;6,75801905972187;6,95265589279315;6,94967427972731;6,8726006751966;7,04601483820819;6,80919575704907;6,81876169680456;6,77724716281436;6,78561387893221;6,58810108331362;6,57828445747838;6,83356471449879;6,79736423707406;6,62230892375653;6,75307234953979;6,75562172148118;6,88685697860545;6,76875963445041;6,8225793051959;6,85328667636184;6,89560796355285;7,0446004158095;6,80308153976173;6,70059658344771;6,82434386916755;6,7281028984866;6,50364994674666;6,66057844917573;6,60940524967074;6,73776021020156;6,57447648174164;6,78929254288399;6,45438870189151;6,79450713541488;6,70034512683155;6,88584468594474;7,00569013881771;6,93300431525633;6,77515403749705;7,14254013026095;6,81963105755061;6,53743463215837;6,76479990928008;6,65495851826412;6,75778525702584;6,48096551145004;6,67198907129058;6,62387738635897;6,63630378215163;6,90070259275098;6,76403275811403;6,83276298626379;6,84795343915351
TTLL10;8,38804903837836;8,29106358502019;8,22896248002613;8,24853461140073;8,26562951411875;8,358367580254;8,32498218842771;8,33630093561547;8,12086864694232;8,23308422749142;8,13309086147174;8,19730608662486;8,18821254369029;8,12065131950562;8,25478736456256;8,30222584701093;8,12817138309109;8,19192517593097;8,21976779851763;8,3161709458063;8,33146867397596;8,22587258060172;8,24667447508643;8,17780373043759;8,05207094061901;8,11260443423149;8,22858132206072;8,28580014667079;8,09267857592982;8,16710991192088;8,31866005387903;8,23827592430422;8,21553254752138;7,97482135111022;8,10085223948556;8,11748352513179;8,07877279741992;8,14450335003763;8,20180228415681;7,96061004969662;8,01847964482351;8,01765696396755;8,29933775986744;8,31957589463074;8,29616497255555;8,17105887111802;8,29121616981989;8,18010216112113;8,19982613048963;8,15507997688534;8,25914268844997;8,09106486935044;8,17049236760756;7,98264496985306;8,04428185053746;8,20337268835756;8,06837804663767;8,26408275562939;7,96701374294849;8,4465524908043;8,25955755681904;8,23052800225833;8,1687821059649;8,07726670466679;8,01769758169041;8,12691425972525;8,14443459017932;8,05033251104172;8,08657842471335;7,96985804311926;8,04947431008924;7,88365256609532;8,03800109642369;8,06133718652349;8,02722024992824;8,39058471593674;8,27717056838929;8,34524361340261;8,18763068631203
B3GALT6;8,30835992566299;8,20578366937355;8,19403069973211;8,31584950824924;8,46786369905034;8,30824148619867;8,20206441495234;8,29912792347326;8,10481507867495;8,29891015310382;8,15873621727471;8,20214006061309;8,31507186881815;8,16595956827056;8,33427711379943;8,40479578725026;8,18038208379098;8,43430696255819;8,34428216437564;8,49562345846121;8,31777429768067;8,36564738501228;8,22599152805379;8,35090867471727;8,32356429981051;8,25052714997268;8,27931915238213;8,34550181592308;8,35501315391063;8,18972445478704;8,36658596685483;8,30115657829247;8,35670435120984;8,30121030043107;8,08888133220186;8,123837483668;8,12003246483208;8,32617111883699;8,33485890683236;8,11056157257176;8,03859050408521;8,26560191335389;8,2702127502456;8,37879012039627;8,34034340642302;8,33963647608315;8,26730142996365;8,26588398217583;8,12021625326805;8,17891263979991;8,20503691281542;8,2628799857848;8,0740981154745;8,11414404672855;8,27547773178872;8,22593686088516;8,10588105483765;8,3331780504083;8,14208601338539;8,27309217975108;8,31957916920117;8,20735765383414;8,13807394874143;8,27395079125895;8,19917338539489;8,37554381443154;8,18039804528235;8,20040256839417;8,28431392403112;8,17857941284982;8,28090891281048;8,06647095140291;8,22755000369445;8,21260256042609;8,14455182392008;8,3916186674021;8,31997482127243;8,35318729128891;8,36715029885891
PUSL1;8,15046149674261;8,14477613153156;8,29482890416957;8,2069247261566;8,2444405407324;8,19686359381849;8,11781133255883;8,08826819747139;8,08547544879363;7,92028587292574;7,91206429051866;7,90624364818534;8,13454298457401;7,92102838701139;8,08751430064381;8,18691958686505;7,98517976155061;8,09773846408207;8,28412305202139;8,21508809184864;8,17879724633669;8,08155667858742;8,13687298261027;8,07198175792986;8,03277840609974;8,01037756676743;8,00959741459849;8,20287907012521;8,07171098381003;8,11127562138423;8,21387591287498;8,1658411099221;8,11978083727487;7,87245255156009;7,93242793973925;7,95022937192695;7,97316141479404;7,98465157452709;7,91178702947805;7,8360706487168;7,85015751611639;7,92860336396632;8,28153199066462;8,16196082195822;8,24705156883655;8,03936816517765;8,14994340708332;7,93637091075488;8,04105492370373;7,89715001750685;8,03642517703479;7,88247897005599;7,91948684195493;7,85411307414485;7,91630458497547;8,00883764379695;7,85976527517874;7,98949885046913;7,8330129505517;8,0735559963078;8,17356341397902;7,95080432713644;8,07182306175593;7,89368285330914;7,97276384679213;8,07724153051631;7,91179992838166;7,82156187083305;7,97139242500713;7,72385016004285;7,96246652670281;7,97855828663832;7,80290883873744;7,95320264291022;7,81968549828192;8,25951087917835;8,00026288728864;8,15305998318919;8,06865850188906
CPTP;7,92053103618009;7,91441985239616;7,9237449351805;7,81153098144574;7,91304425009673;7,87682169504273;7,80063745992177;7,93597635418698;7,84193096117229;7,8398882784627;7,84645981121001;8,02808507407809;7,74123930453898;7,79991063298528;7,98409369110072;7,97368274179469;7,82596708111204;7,88639877850284;7,89417272868933;7,94778161626208;7,87689733277818;7,90337131319306;7,8761422861197;7,79269536820703;7,85297364936909;7,89270066544231;7,7337555836449;7,96637175796564;7,77035096340574;7,69594575795613;7,8788689707156;7,83152864903938;7,95494866038513;7,98909975067246;7,77353002374469;7,76245842127488;7,95192821918351;7,76289720659351;7,82752286475495;7,74054589749551;7,81490257482414;7,83806949773168;7,90070364017787;7,75437602059195;7,77208469542848;7,69980816988246;7,84756421857061;7,76173227281026;7,68800292906708;7,81056064186854;7,6643449991949;7,66412180016866;7,78195511308707;7,97369127441341;7,82745788553237;7,903707012735;7,82898305154927;7,94664205363497;7,6945624210117;7,75437850217414;7,87308135778411;7,59931473951023;7,78143983178557;7,72041769267055;7,83651222941751;7,76314822925515;7,81489796214367;7,74782706692802;7,79590443779298;7,70613741326284;7,8916329838274;7,74092816553487;7,79846974492722;7,72352482538126;7,72707913281993;7,71947369444497;7,66620089332556;7,69169957421221;7,82053315497972
TAS1R3;7,65783436081998;7,70636720693508;7,51937167119457;7,63451159976239;7,64064349010552;7,62683839315388;7,59262624612939;7,59875998640007;7,51924183563827;7,48837861772753;7,56213926416232;7,57930943629862;7,62586525837453;7,50660747601555;7,56509068157392;7,61638082420062;7,42135579226418;7,56337927600021;7,59795701901017;7,67684077885646;7,64738068281701;7,65973541730455;7,63061052463507;7,57647925038244;7,49185375323665;7,47675166000965;7,61477608875247;7,66564026565831;7,58020800306438;7,51823862076238;7,6928414849558;7,54515913064716;7,51006236312259;7,33959549940411;7,41108666033736;7,48300732416467;7,56145120419731;7,40814391146398;7,47183502910414;7,35882218029909;7,43626939099961;7,50352669312687;7,60408814649918;7,66454867449578;7,62086737028834;7,5695309196569;7,58088589577887;7,41748236187856;7,61210314534318;7,48141365370546;7,63957577043279;7,46967781563938;7,55543762988417;7,37882584190666;7,44011399794038;7,49593418580223;7,44543559821199;7,6178527840735;7,40757555028002;7,65535765954275;7,59933533080949;7,66863417852259;7,47405062816135;7,51871603007866;7,46346523744246;7,49374144482311;7,47762189379507;7,4299108780843;7,48184767456339;7,33597696013677;7,40863867808899;7,32357376262199;7,4800012773531;7,34449521885292;7,47383926686073;7,57348903220079;7,59447427766978;7,54755491584519;7,50951192415268
VWA1;8,68201752447814;8,56613466162336;8,44935314945192;8,62616166441284;8,51864974243042;8,46860308444713;8,56000975162679;8,71842635087477;8,45143061121046;8,53725219121691;8,49340934539993;8,6727490321933;8,53411891629715;8,62421336916524;8,507934913346;8,51377531839889;8,44397233147445;8,59222144979462;8,67114782514594;8,70434810281552;8,53825312940599;8,66822872004083;8,66271467981672;8,58566223242032;8,52364386371645;8,48862089927596;8,73917559710112;8,60415224467573;8,69576817946359;8,51081829221437;8,44147177728668;8,66412678592066;8,53310531247348;8,65058729193281;8,58249971147402;8,46002832775353;8,78602562274581;8,49193311270977;8,65573543406281;8,42587584435719;8,48554906402485;8,83381269388189;8,71723181605377;8,69029775794078;8,73997907602298;9,09192239815624;8,74606753831629;8,48645119989612;8,65881438151733;8,59818137194981;8,50220388924196;8,42026230345784;8,62174799760576;8,47317007230525;8,37334171981875;8,43980326273891;8,56485358543273;8,61837289649335;8,48289394431368;8,59117330490463;8,66586405645033;8,64994478340901;8,67816121978855;8,49859995888512;8,55772947301013;8,57170076257254;8,55076168312761;8,47609203237774;8,66235569266187;8,47482508724041;8,72271655340486;8,41518110230402;8,655086433265;8,57922188161467;8,67620324449399;8,84624978248736;8,82500448391889;9,04631319338891;8,7698697192878
ATAD3A;8,89503973895025;8,96305761457784;8,76049102037648;8,90626800130082;8,96184914714098;8,99427553816493;8,80507450703834;8,91957889615905;8,80145019112844;8,61711521782203;8,67801930667781;8,81120919638621;8,82414531965085;8,69436038194227;8,82248933777848;8,85444186873223;8,64410599696534;8,68858050204447;8,78729355488732;8,86668142996866;8,78517287291902;8,76130443688341;8,76690079597249;8,80716002719091;8,91042908714214;8,66573604655642;8,88804117068632;8,86046994563259;8,89849714740913;8,8339011571076;8,82848363366487;8,92625893055221;8,88328053229582;8,703006538562;8,58362070324494;8,6391533049609;8,71981259265342;8,65229620478896;8,84510484029247;8,45391052818749;8,60301769921272;8,71160692315702;8,88494351876654;8,82799141988266;8,7144541183145;8,66463893869155;8,72417785866307;8,9184971482367;8,85935068193349;8,77581931052455;8,8380004212633;8,93358480723748;8,80310972208711;8,65520284878605;8,73790871614162;8,83248387904528;8,71002245525726;8,96950382854718;8,68042670879265;8,98466584160432;8,87685669851549;8,83220095458541;8,75427286962782;8,81639911778867;8,84118681326671;8,94402366465286;8,84503792980166;8,66986398206772;8,94910862111977;8,64656316202011;8,81008985560487;8,69653225780516;8,63904774052818;8,80551851000498;8,74436383234622;9,00790591307313;9,0000311154437;8,96919874662284;8,99784952264502
MIB2;8,41306239481565;8,38847223229501;8,34618676564703;8,34846338861314;8,40473867032493;8,37408851538903;8,25565743649123;8,43785878206355;8,23762445772337;8,3257819541744;8,32383785968236;8,40172317460268;8,34612651159233;8,25470181907136;8,29821328592299;8,41041408780696;8,22717795593537;8,30621081746076;8,30333222309401;8,44545827755014;8,36848185952332;8,40200093554458;8,36031587081103;8,23319023057511;8,21114484309928;8,23210537724816;8,23513619364232;8,37493462154147;8,34894192977958;8,28587607641116;8,37061094690014;8,27869252818738;8,36643075382455;8,13723722065802;8,18492251511024;8,17998556797476;8,23986834963312;8,22964507097944;8,26043885586208;8,10358279625501;8,22984499697464;8,2096180066402;8,28039020525779;8,34205188053699;8,19553917895078;8,27895321432459;8,25768303562389;8,32263255619697;8,33639133485461;8,29485907540611;8,33279233731329;8,21795606625576;8,16046707027009;8,22573964835436;8,24055381554258;8,32050671017642;8,2017640782237;8,40211643596694;8,07639537376581;8,24158610135505;8,30720329556944;8,31664333759813;8,24422713723593;8,3522354454388;8,30024720272137;8,33097267379319;8,20331703430254;8,25816962378275;8,27470964233905;8,11785712426946;8,25001309350537;8,07655249807503;8,2661474427106;8,18854748858678;8,14812521660353;8,36621700823973;8,31322856688823;8,21427539770889;8,22854466510062
MMP23B;8,48339846661843;8,41195201814762;8,2977637215919;8,38818005974868;8,40464922843941;8,43688929363711;8,3287329617913;8,45316721045156;8,29828779747883;8,31242852362258;8,39190373416476;8,42487188081027;8,33739415238479;8,36684874076647;8,39936408178291;8,43806905548279;8,25300432191087;8,36567536923571;8,48633456571771;8,51501336007795;8,47953966994979;8,4132597385665;8,31665094437464;8,359078060909;8,26376045792632;8,3433725078519;8,43072703531874;8,41215606391339;8,27573328519824;8,30169495866634;8,52231964502307;8,40326775971161;8,3932570654459;8,15729397759173;8,15019072923053;8,31898531421024;8,34743413011373;8,25637727872789;8,29721611879145;8,16427745978267;8,21984102076434;8,2683750620505;8,42479243254124;8,44573028793197;8,47061431685002;8,46399719229558;8,46605591835431;8,29476745440185;8,36392312442827;8,32513451730248;8,46582603991073;8,3598961073854;8,36337762379851;8,2062272667946;8,29874711290092;8,26798480000867;8,25594984044691;8,43229108092573;8,20476567952446;8,54588756071265;8,4303425836191;8,44025179313462;8,36134980264483;8,29709762749343;8,25653940623645;8,328078443095;8,31434116044088;8,23584065129487;8,39906570032938;8,19210040390395;8,25456348001982;8,11884803809428;8,34670372230566;8,29618705270027;8,30599873519427;8,52664581436359;8,31891495952145;8,48680196128313;8,45755921977129
